AGS,AGS_STATE,AGS_8,Name,total,Protestant Count,Catholic Count,Other Count
010010000000,01,01001000,"Flensburg, Stadt",95015,35336,5213,54468
010020000000,01,01002000,"Kiel, Landeshauptstadt",249132,80156,15461,153513
010030000000,01,01003000,"Lübeck, Hansestadt",215958,79568,15990,120401
010040000000,01,01004000,"Neumünster, Stadt",79625,30573,4567,44484
010510011011,01,01051011,"Brunsbüttel, Stadt",12573,5745,670,6157
010510044044,01,01051044,"Heide, Stadt",21487,9607,1120,10764
010515163003,01,01051003,Averlak,568,338,14,218
010515163010,01,01051010,Brickeln,191,121,3,66
010515163012,01,01051012,Buchholz (Kreis Dithmarschen),1001,633,29,342
010515163016,01,01051016,Burg (Dithmarschen),4150,2086,182,1880
010515163022,01,01051022,Dingen,648,398,14,238
010515163024,01,01051024,Eddelak,1330,772,47,510
010515163026,01,01051026,Eggstedt,761,446,14,297
010515163032,01,01051032,Frestedt,337,199,6,132
010515163037,01,01051037,Großenrade,482,277,29,175
010515163051,01,01051051,Hochdonn,1124,593,40,494
010515163064,01,01051064,Kuden,622,338,10,270
010515163089,01,01051089,Quickborn,188,101,3,84
010515163097,01,01051097,Sankt Michaelisdonn,3539,2029,115,1393
010515163110,01,01051110,Süderhastedt,771,541,8,217
010515166021,01,01051021,DiekhusenFahrstedt,675,421,12,244
010515166034,01,01051034,Friedrichskoog,2403,1280,122,1000
010515166046,01,01051046,Helse,800,481,24,299
010515166057,01,01051057,KaiserWilhelmKoog,356,177,26,151
010515166062,01,01051062,Kronprinzenkoog,833,431,53,351
010515166072,01,01051072,"Marne, Stadt",5766,3253,263,2253
010515166073,01,01051073,Marnerdeich,395,203,11,183
010515166076,01,01051076,Neufeld,613,304,29,280
010515166077,01,01051077,Neufelderkoog,116,70,6,39
010515166090,01,01051090,Ramhusen,160,82,3,75
010515166103,01,01051103,Schmedeswurth,174,110,3,63
010515166118,01,01051118,Trennewurth,229,122,6,101
010515166119,01,01051119,Volsemenhusen,328,200,17,110
010515169005,01,01051005,Barkenholm,177,90,3,86
010515169008,01,01051008,Bergewöhrden,35,20,0,14
010515169019,01,01051019,Dellstedt,718,497,18,206
010515169020,01,01051020,Delve,760,451,24,282
010515169023,01,01051023,Dörpling,637,403,19,214
010515169030,01,01051030,Fedderingen,265,163,12,94
010515169035,01,01051035,Gaushorn,175,80,13,82
010515169036,01,01051036,Glüsing,107,56,8,41
010515169038,01,01051038,Groven,90,40,5,43
010515169047,01,01051047,Hemme,499,236,42,218
010515169049,01,01051049,Hennstedt (Kreis Dithmarschen),2071,1114,78,878
010515169052,01,01051052,Hövede,64,47,0,17
010515169053,01,01051053,Hollingstedt (Kreis Dithmarschen),304,181,7,113
010515169058,01,01051058,Karolinenkoog,132,81,12,39
010515169060,01,01051060,Kleve (Kreis Dithmarschen),413,232,13,170
010515169061,01,01051061,Krempel,600,360,32,210
010515169065,01,01051065,Lehe (Kreis Dithmarschen),1092,649,48,397
010515169068,01,01051068,Linden (Kreis Dithmarschen),874,517,27,329
010515169071,01,01051071,Lunden,1727,936,133,660
010515169080,01,01051080,Norderheistedt,131,78,3,49
010515169088,01,01051088,Pahlen,1171,731,26,415
010515169092,01,01051092,RehmFlehdeBargen,539,300,30,209
010515169096,01,01051096,Sankt Annen,311,215,16,76
010515169100,01,01051100,Schalkholz,578,346,16,218
010515169102,01,01051102,Schlichting,243,170,6,60
010515169114,01,01051114,Tellingstedt,2673,1577,72,1023
010515169117,01,01051117,Tielenhemme,156,79,6,70
010515169120,01,01051120,Wallen,33,16,0,18
010515169125,01,01051125,Welmbüttel,406,217,11,174
010515169131,01,01051131,Westerborstel,117,83,5,29
010515169133,01,01051133,Wiemerstedt,152,95,5,53
010515169136,01,01051136,Wrohm,741,404,20,317
010515169139,01,01051139,Süderdorf,362,236,4,123
010515169141,01,01051141,Süderheistedt,548,288,11,248
010515172048,01,01051048,Hemmingstedt,2860,1653,113,1095
010515172067,01,01051067,Lieth,381,240,7,133
010515172069,01,01051069,LoheRickelshof,2040,1089,60,890
010515172075,01,01051075,Neuenkirchen (Kreis Dithmarschen),934,452,40,443
010515172081,01,01051081,Norderwöhrden,262,115,13,135
010515172082,01,01051082,Nordhastedt,2803,1617,117,1071
010515172087,01,01051087,Ostrohe,867,436,25,399
010515172107,01,01051107,StelleWittenwurth,460,241,24,197
010515172113,01,01051113,Wöhrden,1165,625,50,491
010515172122,01,01051122,Weddingstedt,2371,1293,86,992
010515172130,01,01051130,Wesseln,1368,651,55,660
010515175001,01,01051001,Albersdorf (Kreis Dithmarschen),3717,2003,178,1535
010515175002,01,01051002,Arkebek,227,120,8,96
010515175004,01,01051004,Bargenstedt,920,571,23,326
010515175006,01,01051006,Barlt,763,458,26,283
010515175015,01,01051015,Bunsoh,771,445,20,304
010515175017,01,01051017,Busenwurth,308,176,22,107
010515175027,01,01051027,Elpersbüttel,851,471,29,350
010515175028,01,01051028,Epenwöhrden,766,425,29,313
010515175039,01,01051039,Gudendorf,428,251,15,162
010515175054,01,01051054,Immenstedt (Kreis Dithmarschen),106,68,8,33
010515175063,01,01051063,Krumstedt,496,293,5,196
010515175074,01,01051074,"Meldorf, Stadt",7180,3937,284,2961
010515175078,01,01051078,Nindorf (Kreis Dithmarschen),1095,655,39,403
010515175083,01,01051083,Odderade,325,184,16,126
010515175085,01,01051085,Offenbüttel,263,170,15,80
010515175086,01,01051086,Osterrade,412,233,14,167
010515175098,01,01051098,Sarzbüttel,707,427,17,261
010515175099,01,01051099,Schafstedt,1280,782,40,456
010515175104,01,01051104,Schrum,74,39,0,33
010515175126,01,01051126,Wennbüttel,103,57,3,46
010515175134,01,01051134,Windbergen,773,504,19,246
010515175135,01,01051135,Wolmersdorf,318,191,6,118
010515175137,01,01051137,Nordermeldorf,589,356,27,206
010515175138,01,01051138,TensbüttelRöst,647,435,15,197
010515178013,01,01051013,Büsum,4911,2198,297,2413
010515178014,01,01051014,Büsumer Deichhausen,343,147,25,171
010515178033,01,01051033,Friedrichsgabekoog,52,28,0,27
010515178043,01,01051043,Hedwigenkoog,218,124,9,83
010515178045,01,01051045,HellschenHeringsandUnterschaar,164,83,8,72
010515178050,01,01051050,Hillgroven,57,35,3,20
010515178079,01,01051079,Norddeich,434,223,13,193
010515178084,01,01051084,Oesterdeichstrich,310,145,11,155
010515178093,01,01051093,Reinsbüttel,389,195,17,178
010515178105,01,01051105,Schülp,369,202,25,142
010515178108,01,01051108,Strübbel,95,48,12,37
010515178109,01,01051109,Süderdeich,435,224,25,187
010515178121,01,01051121,Warwerort,226,100,11,117
010515178127,01,01051127,"Wesselburen, Stadt",3346,1567,158,1623
010515178128,01,01051128,Wesselburener Deichhausen,107,58,5,43
010515178129,01,01051129,Wesselburenerkoog,165,82,12,73
010515178132,01,01051132,Westerdeichstrich,797,369,39,386
010515178140,01,01051140,Oesterwurth,241,119,10,112
010530032032,01,01053032,"Geesthacht, Stadt",32343,8550,1935,21859
010530083083,01,01053083,"Lauenburg/ Elbe, Stadt",11395,3723,597,7075
010530090090,01,01053090,"Mölln, Stadt",19392,8202,1195,9995
010530100100,01,01053100,"Ratzeburg, Stadt",14873,6273,921,7677
010530116116,01,01053116,"Schwarzenbek, Stadt",16889,5123,1301,10467
010530129129,01,01053129,Wentorf bei Hamburg,13524,3968,1053,8503
010535308008,01,01053008,Behlendorf,405,211,6,185
010535308009,01,01053009,Berkenthin,2171,1132,86,955
010535308011,01,01053011,Bliestorf,631,312,22,295
010535308024,01,01053024,Düchelsdorf,154,88,3,63
010535308034,01,01053034,Göldenitz,231,150,6,75
010535308061,01,01053061,Kastorf,1165,521,56,594
010535308067,01,01053067,Klempau,597,348,17,232
010535308075,01,01053075,Krummesse,1629,872,80,678
010535308094,01,01053094,Niendorf bei Berkenthin,193,105,11,83
010535308103,01,01053103,Rondeshagen,794,363,38,394
010535308120,01,01053120,Sierksrade,441,196,15,236
010535313002,01,01053002,AltMölln,851,357,46,447
010535313005,01,01053005,Bälau,225,107,4,112
010535313013,01,01053013,Borstorf,315,141,9,165
010535313014,01,01053014,Breitenfelde,2099,1066,69,961
010535313037,01,01053037,Grambek,534,227,25,284
010535313056,01,01053056,Hornbek,226,75,7,141
010535313084,01,01053084,Lehmrade,591,279,24,289
010535313095,01,01053095,Niendorf/ Stecknitz,697,343,25,329
010535313113,01,01053113,Schretstaken,512,246,17,249
010535313125,01,01053125,Talkau,543,223,0,318
010535313134,01,01053134,Woltersdorf (Kreis Herzogtum Lauenburg),350,155,10,188
010535318010,01,01053010,Besenthal,92,66,0,22
010535318015,01,01053015,Bröthen,330,143,9,183
010535318020,01,01053020,Büchen,6366,2642,257,3466
010535318029,01,01053029,Fitzen,386,179,24,181
010535318035,01,01053035,Göttin,61,27,0,34
010535318046,01,01053046,Gudow,1745,890,77,781
010535318048,01,01053048,Güster,1296,385,62,852
010535318064,01,01053064,Klein Pampau,679,264,27,388
010535318080,01,01053080,Langenlehsten,173,93,6,77
010535318092,01,01053092,Müssen,1233,521,50,665
010535318104,01,01053104,Roseburg,544,253,31,267
010535318115,01,01053115,Schulendorf,452,202,10,239
010535318119,01,01053119,Siebeneichen,269,156,9,105
010535318126,01,01053126,Tramm (Kreis Herzogtum Lauenburg),323,167,6,149
010535318132,01,01053132,Witzeeze,917,382,36,503
010535323003,01,01053003,Aumühle,3200,1300,245,1655
010535323012,01,01053012,Börnsen,4773,1383,352,3038
010535323023,01,01053023,Dassendorf,3465,1102,200,2161
010535323028,01,01053028,Escheburg,3496,996,201,2296
010535323050,01,01053050,Hamwarde,883,404,54,423
010535323053,01,01053053,Hohenhorn,537,206,36,296
010535323072,01,01053072,KröppelshagenFahrendorf,1423,419,106,901
010535323131,01,01053131,Wiershop,212,93,15,104
010535323133,01,01053133,Wohltorf,2579,925,217,1442
010535323135,01,01053135,Worth,170,98,9,64
010535343006,01,01053006,Basedow (Kreis Herzogtum Lauenburg),633,248,31,348
010535343019,01,01053019,Buchhorst,147,69,6,75
010535343022,01,01053022,Dalldorf,354,177,11,165
010535343058,01,01053058,Juliusburg,183,80,3,101
010535343073,01,01053073,Krüzen,358,169,3,189
010535343074,01,01053074,Krukow (Kreis Herzogtum Lauenburg),162,85,4,75
010535343082,01,01053082,Lanze,268,128,9,132
010535343087,01,01053087,Lütau,696,367,19,310
010535343111,01,01053111,Schnakenbek,912,356,57,496
010535343128,01,01053128,Wangelau,210,106,6,99
010535358001,01,01053001,Albsfelde,74,33,0,39
010535358004,01,01053004,Bäk,919,451,47,421
010535358016,01,01053016,Brunsmark,156,67,9,80
010535358018,01,01053018,Buchholz (Kreis Herzogtum Lauenburg),252,113,24,112
010535358026,01,01053026,Einhaus,447,196,19,226
010535358030,01,01053030,Fredeburg,47,9,4,30
010535358033,01,01053033,Giesensdorf,175,62,5,111
010535358040,01,01053040,Groß Disnack,84,49,0,34
010535358041,01,01053041,Groß Grönau,3764,1674,239,1850
010535358043,01,01053043,Groß Sarau,1052,441,56,554
010535358051,01,01053051,Harmsdorf (Kreis Herzogtum Lauenburg),314,168,21,127
010535358054,01,01053054,Hollenbek,472,252,28,190
010535358057,01,01053057,Horst,277,151,10,119
010535358062,01,01053062,Kittlitz,299,155,16,125
010535358066,01,01053066,Klein Zecher,247,154,8,82
010535358078,01,01053078,Kulpin,210,90,12,108
010535358088,01,01053088,Mechow,141,74,3,62
010535358093,01,01053093,Mustin (Kreis Herzogtum Lauenburg),732,407,33,292
010535358098,01,01053098,Pogeez,510,201,31,278
010535358102,01,01053102,Römnitz,49,28,3,19
010535358107,01,01053107,Salem (Kreis Herzogtum Lauenburg),693,273,29,393
010535358110,01,01053110,Schmilau,572,294,29,245
010535358117,01,01053117,Seedorf (Kreis Herzogtum Lauenburg),595,313,33,253
010535358123,01,01053123,Sterley,927,497,30,402
010535358136,01,01053136,Ziethen (Kreis Herzogtum Lauenburg),1157,612,32,510
010535373007,01,01053007,Basthorst,437,208,22,208
010535373017,01,01053017,Brunstorf,783,303,62,417
010535373021,01,01053021,Dahmker,157,74,3,81
010535373027,01,01053027,Elmenhorst (Kreis Herzogtum Lauenburg),881,334,36,513
010535373031,01,01053031,Fuhlenhagen,389,192,14,179
010535373036,01,01053036,Grabau (Kreis Herzogtum Lauenburg),363,154,3,204
010535373042,01,01053042,Groß Pampau,175,86,3,88
010535373045,01,01053045,Grove,263,110,9,138
010535373047,01,01053047,Gülzow (Kreis Herzogtum Lauenburg),1368,592,60,718
010535373049,01,01053049,Hamfelde (Kreis Herzogtum Lauenburg),505,176,25,302
010535373052,01,01053052,Havekost,194,84,8,105
010535373059,01,01053059,Kankelau,231,101,4,124
010535373060,01,01053060,Kasseburg,578,218,19,341
010535373070,01,01053070,Köthel (Kreis Herzogtum Lauenburg),301,110,14,176
010535373071,01,01053071,Kollow,622,277,24,325
010535373076,01,01053076,Kuddewörde,1707,593,84,1030
010535373089,01,01053089,Möhnsen,554,258,13,282
010535373091,01,01053091,Mühlenrade,206,97,7,101
010535373106,01,01053106,Sahms,460,179,17,259
010535391025,01,01053025,Duvensee,554,276,20,257
010535391038,01,01053038,Grinau,288,168,15,108
010535391039,01,01053039,Groß Boden,213,76,4,133
010535391044,01,01053044,Groß Schenkenberg,572,282,20,273
010535391068,01,01053068,Klinkrade,614,275,25,315
010535391069,01,01053069,Koberg,791,373,34,385
010535391077,01,01053077,Kühsen,358,174,16,164
010535391079,01,01053079,Labenz,882,394,27,461
010535391081,01,01053081,Lankau,462,213,6,244
010535391085,01,01053085,Linau,1222,466,45,711
010535391086,01,01053086,Lüchow,307,137,9,160
010535391096,01,01053096,Nusse,1176,523,64,588
010535391097,01,01053097,Panten,651,280,25,346
010535391099,01,01053099,Poggensee,363,163,11,189
010535391101,01,01053101,Ritzerau,307,161,14,132
010535391108,01,01053108,Sandesneben,1886,696,76,1109
010535391109,01,01053109,Schiphorst,681,291,14,376
010535391112,01,01053112,Schönberg (Kreis Herzogtum Lauenburg),1449,575,46,828
010535391114,01,01053114,Schürensöhlen,158,71,6,77
010535391118,01,01053118,Siebenbäumen,607,325,13,269
010535391121,01,01053121,Sirksfelde,333,131,14,184
010535391122,01,01053122,Steinhorst (Kreis Herzogtum Lauenburg),564,293,18,252
010535391124,01,01053124,Stubben (Kreis Herzogtum Lauenburg),381,160,17,203
010535391127,01,01053127,Walksfelde,209,70,13,129
010535391130,01,01053130,Wentorf (Amt Sandesneben),717,308,18,393
010540033033,01,01054033,"Friedrichstadt, Stadt",2614,1295,145,1172
010540056056,01,01054056,"Husum, Stadt",23628,11210,1328,11092
010540108108,01,01054108,Reußenköge,311,142,12,161
010540138138,01,01054138,"Tönning, Stadt",4789,2497,255,2036
010540168168,01,01054168,Sylt,14579,5242,1426,7908
010545417035,01,01054035,"Garding, Kirchspiel",326,160,16,152
010545417036,01,01054036,"Garding, Stadt",2771,1457,145,1168
010545417040,01,01054040,Grothusenkoog,25,13,0,11
010545417063,01,01054063,Katharinenheerd,157,103,0,50
010545417072,01,01054072,Kotzenbüll,188,123,8,57
010545417090,01,01054090,Norderfriedrichskoog,54,43,0,13
010545417095,01,01054095,Oldenswort,1237,737,60,439
010545417100,01,01054100,Osterhever,223,107,11,102
010545417104,01,01054104,Poppenbüll,236,142,10,83
010545417113,01,01054113,Sankt PeterOrding,3809,1490,366,1952
010545417134,01,01054134,Tating,999,508,82,411
010545417135,01,01054135,Tetenbüll,645,356,30,260
010545417140,01,01054140,Tümlauer Koog,106,50,0,53
010545417145,01,01054145,Vollerwiek,208,102,14,97
010545417148,01,01054148,Welt,191,127,8,56
010545417150,01,01054150,Westerhever,97,54,20,27
010545439046,01,01054046,Hörnum (Sylt),854,302,77,474
010545439061,01,01054061,Kampen (Sylt),533,198,44,291
010545439078,01,01054078,List auf Sylt,1404,435,189,775
010545439149,01,01054149,WenningstedtBraderup (Sylt),1441,484,122,837
010545453003,01,01054003,Ahrenviöl,524,362,10,152
010545453004,01,01054004,Ahrenviölfeld,224,150,8,66
010545453011,01,01054011,Behrendorf,551,372,13,165
010545453013,01,01054013,Bondelum,186,105,5,77
010545453041,01,01054041,Haselund,920,646,20,254
010545453057,01,01054057,Immenstedt (Kreis Nordfriesland),671,452,24,192
010545453079,01,01054079,Löwenstedt,705,519,16,171
010545453092,01,01054092,Norstedt,391,269,8,118
010545453101,01,01054101,OsterOhrstedt,665,373,18,270
010545453118,01,01054118,Schwesing,937,613,27,293
010545453123,01,01054123,Sollwitt,285,225,0,59
010545453144,01,01054144,Viöl,2248,1513,62,671
010545453152,01,01054152,WesterOhrstedt,1078,656,37,385
010545459039,01,01054039,Gröde,9,3,0,4
010545459050,01,01054050,Hallig Hooge,100,58,18,23
010545459074,01,01054074,Langeneß,136,84,4,45
010545459103,01,01054103,Pellworm,1231,698,95,440
010545488005,01,01054005,Alkersum,392,281,24,86
010545488015,01,01054015,Borgsum,305,212,12,79
010545488025,01,01054025,Dunsum,77,43,4,33
010545488083,01,01054083,Midlum (Kreis Nordfriesland),467,301,26,137
010545488085,01,01054085,Nebel,921,454,73,393
010545488087,01,01054087,Nieblum,582,360,37,185
010545488089,01,01054089,Norddorf auf Amrum,571,269,56,244
010545488094,01,01054094,Oevenum,454,297,22,137
010545488098,01,01054098,Oldsum,561,391,27,144
010545488129,01,01054129,Süderende,178,120,10,45
010545488143,01,01054143,Utersum,412,258,27,127
010545488158,01,01054158,Witsum,41,23,4,15
010545488160,01,01054160,Wittdün auf Amrum,814,281,87,446
010545488163,01,01054163,Wrixum,561,329,30,198
010545488164,01,01054164,"Wyk auf Föhr, Stadt",4217,1978,339,1897
010545489001,01,01054001,Achtrup,1534,913,46,575
010545489009,01,01054009,Aventoft,406,220,8,177
010545489016,01,01054016,Bosbüll,260,140,10,110
010545489017,01,01054017,Braderup,662,363,17,279
010545489018,01,01054018,Bramstedtlund,212,99,3,106
010545489022,01,01054022,Dagebüll,918,522,54,344
010545489027,01,01054027,Ellhöft,105,68,3,35
010545489034,01,01054034,FriedrichWilhelmLübkeKoog,169,108,3,56
010545489048,01,01054048,Holm (Kreis Nordfriesland),93,47,3,40
010545489055,01,01054055,Humptrup,756,467,17,268
010545489062,01,01054062,Karlum,214,128,9,81
010545489065,01,01054065,Klanxbüll,1059,507,68,481
010545489068,01,01054068,Klixbüll,1058,581,34,443
010545489073,01,01054073,Ladelund,1405,834,50,519
010545489076,01,01054076,Leck,7832,3937,406,3490
010545489077,01,01054077,Lexgaard,55,34,3,19
010545489086,01,01054086,Neukirchen (Kreis Nordfriesland),1129,684,40,406
010545489088,01,01054088,"Niebüll, Stadt",10163,4863,642,4658
010545489109,01,01054109,RisumLindholm,3912,2467,118,1326
010545489110,01,01054110,Rodenäs,413,203,20,194
010545489124,01,01054124,Sprakebüll,267,169,4,95
010545489125,01,01054125,Stadum,915,528,20,368
010545489126,01,01054126,Stedesand,876,565,36,278
010545489131,01,01054131,Süderlügum,2373,1433,78,864
010545489136,01,01054136,Tinningstedt,238,124,0,110
010545489142,01,01054142,Uphusum,358,210,17,136
010545489154,01,01054154,Westre,350,215,8,129
010545489165,01,01054165,Galmsbüll,574,297,31,248
010545489166,01,01054166,EmmelsbüllHorsbüll,915,508,46,361
010545489167,01,01054167,EngeSande,1186,789,52,349
010545492007,01,01054007,Arlewatt,341,250,4,88
010545492023,01,01054023,Drage (Kreis Nordfriesland),651,312,44,298
010545492026,01,01054026,ElisabethSophienKoog,63,40,3,21
010545492032,01,01054032,Fresendelf,85,44,9,34
010545492042,01,01054042,Hattstedt,2605,1607,112,884
010545492043,01,01054043,Hattstedtermarsch,297,182,10,105
010545492052,01,01054052,Horstedt (Kreis Nordfriesland),825,548,23,255
010545492054,01,01054054,Hude,176,103,9,64
010545492070,01,01054070,Koldenbüttel,935,565,30,342
010545492084,01,01054084,Mildstedt,3993,2307,139,1550
010545492091,01,01054091,Nordstrand,2258,1265,245,748
010545492096,01,01054096,Oldersbek,754,465,23,254
010545492097,01,01054097,Olderup,463,321,14,126
010545492099,01,01054099,Ostenfeld (Husum),1553,962,58,531
010545492105,01,01054105,Ramstedt,432,276,12,145
010545492106,01,01054106,Rantrum,1953,1105,50,794
010545492116,01,01054116,Schwabstedt,1340,841,45,454
010545492119,01,01054119,Seeth,611,365,35,212
010545492120,01,01054120,Simonsberg,837,523,32,281
010545492130,01,01054130,Süderhöft,23,13,0,13
010545492132,01,01054132,Südermarsch,142,90,4,49
010545492141,01,01054141,Uelvesbüll,303,172,15,115
010545492156,01,01054156,Winnert,722,465,20,235
010545492157,01,01054157,Wisch (Kreis Nordfriesland),111,76,3,33
010545492159,01,01054159,Wittbek,792,498,15,277
010545492161,01,01054161,Witzwort,1027,603,50,372
010545492162,01,01054162,Wobbenbüll,458,265,35,158
010545494002,01,01054002,Ahrenshöft,532,345,15,170
010545494006,01,01054006,Almdorf,544,330,22,197
010545494010,01,01054010,Bargum,664,478,14,170
010545494012,01,01054012,Bohmstedt,767,520,24,225
010545494014,01,01054014,Bordelum,2073,1258,70,744
010545494019,01,01054019,"Bredstedt, Stadt",5608,2964,324,2321
010545494020,01,01054020,Breklum,2385,1536,83,772
010545494024,01,01054024,Drelsdorf,1278,871,25,378
010545494037,01,01054037,Goldebek,374,250,6,118
010545494038,01,01054038,Goldelund,414,231,11,173
010545494045,01,01054045,Högel,470,310,9,151
010545494059,01,01054059,Joldelund,819,542,15,264
010545494071,01,01054071,Kolkerheide,75,45,6,23
010545494075,01,01054075,Langenhorn,3330,2199,123,1013
010545494080,01,01054080,Lütjenholm,349,224,8,117
010545494093,01,01054093,Ockholm,310,195,20,93
010545494121,01,01054121,Sönnebüll,296,171,3,127
010545494128,01,01054128,Struckum,1029,657,40,328
010545494146,01,01054146,Vollstedt,176,115,4,54
010550001001,01,01055001,Ahrensbök,8106,4123,361,3618
010550004004,01,01055004,"Bad Schwartau, Stadt",20108,8382,1094,10637
010550007007,01,01055007,Bosau,3363,1734,133,1500
010550010010,01,01055010,Dahme,1244,489,85,670
010550012012,01,01055012,"Eutin, Stadt",17057,7740,1045,8269
010550016016,01,01055016,Grömitz,6895,2876,450,3573
010550018018,01,01055018,Grube,1028,610,56,361
010550021021,01,01055021,"Heiligenhafen, Stadt",9503,4232,702,4562
010550025025,01,01055025,Kellenhusen (Ostsee),1143,483,103,551
010550028028,01,01055028,Malente,10763,5065,559,5143
010550032032,01,01055032,"Neustadt in Holstein, Stadt",15269,6393,919,7957
010550033033,01,01055033,"Oldenburg in Holstein, Stadt",9718,4794,584,4339
010550035035,01,01055035,Ratekau,15303,6705,822,7772
010550040040,01,01055040,Stockelsdorf,16386,7090,895,8403
010550041041,01,01055041,Süsel,5005,2566,244,2194
010550042042,01,01055042,Timmendorfer Strand,8390,3079,584,4728
010550044044,01,01055044,Scharbeutz,11634,4571,779,6285
010550046046,01,01055046,"Fehmarn, Stadt",13291,6444,1085,5766
010555543014,01,01055014,Göhl,1097,613,58,425
010555543015,01,01055015,Gremersdorf,1634,864,79,691
010555543017,01,01055017,Großenbrode,2195,1067,127,1001
010555543022,01,01055022,Heringsdorf (Kreis Ostholstein),1137,590,46,498
010555543031,01,01055031,Neukirchen (Kreis Ostholstein),1228,679,70,475
010555543043,01,01055043,Wangels,2169,1205,73,893
010555546006,01,01055006,Beschendorf,580,314,19,254
010555546011,01,01055011,Damlos,644,331,28,285
010555546020,01,01055020,Harmsdorf (Kreis Ostholstein),696,397,34,267
010555546023,01,01055023,Kabelhorst,417,239,15,167
010555546027,01,01055027,Lensahn,4982,2739,223,2019
010555546029,01,01055029,Manhagen,392,236,15,139
010555546036,01,01055036,Riepsdorf,969,604,50,317
010555591002,01,01055002,Altenkrempe,1082,610,57,415
010555591024,01,01055024,Kasseedorf,1448,730,69,650
010555591037,01,01055037,Schashagen,2010,1067,98,845
010555591038,01,01055038,Schönwalde am Bungsberg,2489,1445,106,938
010555591039,01,01055039,Sierksdorf,1561,578,99,880
010560002002,01,01056002,"Barmstedt, Stadt",10282,3847,586,5849
010560005005,01,01056005,Bönningstedt,4525,1333,260,2929
010560015015,01,01056015,"Elmshorn, Stadt",51248,15246,3228,32775
010560018018,01,01056018,Halstenbek,18012,4815,1197,12001
010560021021,01,01056021,Hasloh,3755,1184,211,2361
010560025025,01,01056025,Helgoland,1405,516,135,752
010560039039,01,01056039,"Pinneberg, Stadt",43925,10548,2628,30748
010560041041,01,01056041,"Quickborn, Stadt",22372,5901,1347,15123
010560043043,01,01056043,Rellingen,14560,4208,780,9571
010560044044,01,01056044,"Schenefeld, Stadt",19465,4651,1045,13771
010560048048,01,01056048,"Tornesch, Stadt",14067,4605,681,8788
010560049049,01,01056049,"Uetersen, Stadt",18344,5631,913,11799
010560050050,01,01056050,"Wedel, Stadt",34420,8552,2361,23507
010565616029,01,01056029,Klein Nordende,3361,1374,135,1856
010565616030,01,01056030,Klein OffensethSparrieshoop,3089,1285,135,1662
010565616031,01,01056031,KöllnReisiek,3400,1129,195,2075
010565616033,01,01056033,Seester,1037,486,25,526
010565616042,01,01056042,RaaBesenbek,555,237,23,295
010565616045,01,01056045,Seestermühe,928,441,36,452
010565616046,01,01056046,SeethEkholt,938,333,47,558
010565636006,01,01056006,Bokel (Kreis Pinneberg),589,304,19,264
010565636010,01,01056010,BrandeHörnerkirchen,1685,748,43,894
010565636038,01,01056038,Osterhorn,423,190,12,222
010565636051,01,01056051,Westerhorn,1274,574,42,656
010565660003,01,01056003,Bevern,580,284,23,274
010565660004,01,01056004,Bilsen,839,329,42,468
010565660008,01,01056008,BokholtHanredder,1342,518,47,775
010565660011,01,01056011,Bullenkuhlen,385,151,9,222
010565660014,01,01056014,Ellerhoop,1505,510,82,908
010565660017,01,01056017,Groß OffensethAspern,456,181,30,247
010565660022,01,01056022,Heede (Kreis Pinneberg),839,363,22,454
010565660026,01,01056026,Hemdingen,1746,626,66,1054
010565660034,01,01056034,Langeln,591,218,26,344
010565660035,01,01056035,Lutzhorn,799,407,29,361
010565687009,01,01056009,BorstelHohenraden,2401,858,121,1419
010565687013,01,01056013,Ellerbek,4348,1252,268,2830
010565687032,01,01056032,Kummerfeld,2351,760,141,1450
010565687040,01,01056040,Prisdorf,2299,745,136,1413
010565687047,01,01056047,Tangstedt (Kreis Pinneberg),2231,759,125,1348
010565690001,01,01056001,Appen,4818,1696,234,2887
010565690016,01,01056016,Groß Nordende,821,270,30,525
010565690019,01,01056019,Haselau,1128,524,44,562
010565690020,01,01056020,Haseldorf,1838,772,60,1006
010565690023,01,01056023,Heidgraben,2730,975,96,1658
010565690024,01,01056024,Heist,2832,1052,117,1664
010565690027,01,01056027,Hetlingen,1449,472,64,912
010565690028,01,01056028,Holm,3304,1051,192,2058
010565690036,01,01056036,Moorrege,4488,1741,193,2554
010565690037,01,01056037,Neuendeich,496,202,25,273
010570001001,01,01057001,Ascheberg (Holstein),3097,1502,146,1449
010570008008,01,01057008,Bönebüttel,2065,971,65,1027
010570009009,01,01057009,Bösdorf,1247,650,66,531
010570057057,01,01057057,"Plön, Stadt",8889,3951,539,4399
010570062062,01,01057062,"Preetz, Stadt",16245,7145,779,8321
010570091091,01,01057091,"Schwentinental, Stadt",13905,5027,553,8325
010575727004,01,01057004,Behrensdorf (Ostsee),640,321,35,284
010575727007,01,01057007,Blekendorf,1634,975,63,600
010575727013,01,01057013,Dannau,585,337,28,218
010575727021,01,01057021,Giekau,997,590,29,374
010575727026,01,01057026,Helmstorf,302,158,14,126
010575727027,01,01057027,Högsdorf,397,241,12,144
010575727029,01,01057029,Hohenfelde (Kreis Plön),1018,479,62,476
010575727030,01,01057030,Hohwacht (Ostsee),817,339,54,425
010575727034,01,01057034,Kirchnüchel,191,127,9,54
010575727035,01,01057035,Klamp,640,397,14,232
010575727038,01,01057038,Kletkamp,90,49,8,34
